Property,Home,Away
id,15,8
name,Newcastle,Everton
short_name,NEW,EVE
strength,3,3
strength_overall_home,1070,1090
strength_overall_away,1120,1090
strength_attack_home,1070,1070
strength_attack_away,1110,1120
strength_defence_home,1030,1140
strength_defence_away,1050,1230
next_event_fixture_is_home,True,False
