Property,Home,Away
id,7,3
name,Crystal Palace,Brighton
short_name,CRY,BHA
strength,2,2
strength_overall_home,1060,1030
strength_overall_away,1080,1030
strength_attack_home,1030,1040
strength_attack_away,1180,1140
strength_defence_home,1030,1010
strength_defence_away,1050,1070
next_event_fixture_is_home,True,False
