Property,Home,Away
id,1,14
name,Arsenal,Man Utd
short_name,ARS,MUN
strength,4,4
strength_overall_home,1260,1310
strength_overall_away,1320,1310
strength_attack_home,1240,1250
strength_attack_away,1270,1260
strength_defence_home,1310,1310
strength_defence_away,1340,1340
next_event_fixture_is_home,True,False
