Time,Home,Away
29 Sep 15:00,Arsenal,Watford
29 Sep 15:00,Everton,Fulham
29 Sep 15:00,Huddersfield,Spurs
29 Sep 15:00,Man City,Brighton
29 Sep 15:00,Newcastle,Leicester
29 Sep 15:00,Wolves,Southampton
29 Sep 17:30,Chelsea,Liverpool
30 Sep 16:00,Cardiff,Burnley
01 Oct 20:00,Bournemouth,Crystal Palace
05 Oct 20:00,Brighton,West Ham
06 Oct 15:00,Burnley,Huddersfield
06 Oct 15:00,Crystal Palace,Wolves
06 Oct 15:00,Leicester,Everton
06 Oct 15:00,Spurs,Cardiff
06 Oct 15:00,Watford,Bournemouth
06 Oct 17:30,Man Utd,Newcastle
07 Oct 12:00,Fulham,Arsenal
07 Oct 14:15,Southampton,Chelsea
07 Oct 16:30,Liverpool,Man City
20 Oct 12:30,Chelsea,Man Utd
20 Oct 15:00,Bournemouth,Southampton
20 Oct 15:00,Cardiff,Fulham
20 Oct 15:00,Man City,Burnley
20 Oct 15:00,Newcastle,Brighton
20 Oct 15:00,West Ham,Spurs
20 Oct 15:00,Wolves,Watford
20 Oct 17:30,Huddersfield,Liverpool
21 Oct 16:00,Everton,Crystal Palace
22 Oct 20:00,Arsenal,Leicester
27 Oct 15:00,Brighton,Wolves
27 Oct 15:00,Fulham,Bournemouth
27 Oct 15:00,Liverpool,Cardiff
27 Oct 15:00,Southampton,Newcastle
27 Oct 15:00,Watford,Huddersfield
27 Oct 17:30,Leicester,West Ham
28 Oct 13:30,Burnley,Chelsea
28 Oct 13:30,Crystal Palace,Arsenal
28 Oct 16:00,Man Utd,Everton
29 Oct 20:00,Spurs,Man City
03 Nov 12:30,Bournemouth,Man Utd
03 Nov 15:00,Cardiff,Leicester
03 Nov 15:00,Everton,Brighton
03 Nov 15:00,Newcastle,Watford
03 Nov 15:00,West Ham,Burnley
03 Nov 17:30,Arsenal,Liverpool
03 Nov 19:45,Wolves,Spurs
04 Nov 15:00,Man City,Southampton
04 Nov 16:00,Chelsea,Crystal Palace
05 Nov 20:00,Huddersfield,Fulham
10 Nov 12:30,Cardiff,Brighton
10 Nov 15:00,Huddersfield,West Ham
10 Nov 15:00,Leicester,Burnley
10 Nov 15:00,Newcastle,Bournemouth
10 Nov 15:00,Southampton,Watford
10 Nov 17:30,Crystal Palace,Spurs
11 Nov 12:00,Liverpool,Fulham
11 Nov 14:15,Chelsea,Everton
11 Nov 16:30,Arsenal,Wolves
11 Nov 16:30,Man City,Man Utd
24 Nov 15:00,Brighton,Leicester
24 Nov 15:00,Everton,Cardiff
24 Nov 15:00,Fulham,Southampton
24 Nov 15:00,Man Utd,Crystal Palace
24 Nov 15:00,Watford,Liverpool
24 Nov 15:00,West Ham,Man City
24 Nov 17:30,Spurs,Chelsea
25 Nov 13:30,Bournemouth,Arsenal
25 Nov 16:00,Wolves,Huddersfield
26 Nov 20:30,Burnley,Newcastle
30 Nov 20:00,Cardiff,Wolves
01 Dec 15:00,Crystal Palace,Burnley
01 Dec 15:00,Huddersfield,Brighton
01 Dec 15:00,Leicester,Watford
01 Dec 15:00,Man City,Bournemouth
01 Dec 15:00,Newcastle,West Ham
01 Dec 17:30,Southampton,Man Utd
02 Dec 12:00,Chelsea,Fulham
02 Dec 14:05,Arsenal,Spurs
02 Dec 16:15,Liverpool,Everton
04 Dec 19:45,Bournemouth,Huddersfield
04 Dec 19:45,Brighton,Crystal Palace
04 Dec 19:45,West Ham,Cardiff
04 Dec 20:00,Watford,Man City
05 Dec 19:45,Burnley,Liverpool
05 Dec 19:45,Everton,Newcastle
05 Dec 19:45,Fulham,Leicester
05 Dec 19:45,Wolves,Chelsea
05 Dec 20:00,Man Utd,Arsenal
05 Dec 20:00,Spurs,Southampton
08 Dec 12:30,Bournemouth,Liverpool
08 Dec 15:00,Arsenal,Huddersfield
08 Dec 15:00,Burnley,Brighton
08 Dec 15:00,Cardiff,Southampton
08 Dec 15:00,Man Utd,Fulham
08 Dec 15:00,West Ham,Crystal Palace
08 Dec 17:30,Chelsea,Man City
08 Dec 19:45,Leicester,Spurs
09 Dec 16:00,Newcastle,Wolves
10 Dec 20:00,Everton,Watford
15 Dec 12:30,Man City,Everton
15 Dec 15:00,Crystal Palace,Leicester
15 Dec 15:00,Huddersfield,Newcastle
15 Dec 15:00,Spurs,Burnley
15 Dec 15:00,Watford,Cardiff
15 Dec 15:00,Wolves,Bournemouth
15 Dec 17:30,Fulham,West Ham
16 Dec 13:30,Brighton,Chelsea
16 Dec 13:30,Southampton,Arsenal
16 Dec 16:00,Liverpool,Man Utd
21 Dec 20:00,Wolves,Liverpool
22 Dec 12:30,Arsenal,Burnley
22 Dec 15:00,Bournemouth,Brighton
22 Dec 15:00,Chelsea,Leicester
22 Dec 15:00,Huddersfield,Southampton
22 Dec 15:00,Man City,Crystal Palace
22 Dec 15:00,Newcastle,Fulham
22 Dec 15:00,West Ham,Watford
22 Dec 17:30,Cardiff,Man Utd
23 Dec 16:00,Everton,Spurs
26 Dec 12:30,Fulham,Wolves
26 Dec 15:00,Burnley,Everton
26 Dec 15:00,Crystal Palace,Cardiff
26 Dec 15:00,Leicester,Man City
26 Dec 15:00,Liverpool,Newcastle
26 Dec 15:00,Man Utd,Huddersfield
26 Dec 15:00,Spurs,Bournemouth
26 Dec 17:15,Brighton,Arsenal
26 Dec 19:30,Watford,Chelsea
27 Dec 19:45,Southampton,West Ham
29 Dec 15:00,Brighton,Everton
29 Dec 15:00,Fulham,Huddersfield
29 Dec 15:00,Leicester,Cardiff
29 Dec 15:00,Spurs,Wolves
29 Dec 15:00,Watford,Newcastle
29 Dec 17:30,Liverpool,Arsenal
30 Dec 12:00,Crystal Palace,Chelsea
30 Dec 14:15,Burnley,West Ham
30 Dec 14:15,Southampton,Man City
30 Dec 16:30,Man Utd,Bournemouth
01 Jan 12:30,Everton,Leicester
01 Jan 15:00,Arsenal,Fulham
01 Jan 17:30,Cardiff,Spurs
02 Jan 19:45,Bournemouth,Watford
02 Jan 19:45,Chelsea,Southampton
02 Jan 19:45,Huddersfield,Burnley
02 Jan 19:45,West Ham,Brighton
02 Jan 19:45,Wolves,Crystal Palace
02 Jan 20:00,Newcastle,Man Utd
03 Jan 20:00,Man City,Liverpool
12 Jan 12:30,West Ham,Arsenal
12 Jan 15:00,Brighton,Liverpool
12 Jan 15:00,Burnley,Fulham
12 Jan 15:00,Cardiff,Huddersfield
12 Jan 15:00,Crystal Palace,Watford
12 Jan 15:00,Leicester,Southampton
12 Jan 17:30,Chelsea,Newcastle
13 Jan 14:15,Everton,Bournemouth
13 Jan 16:30,Spurs,Man Utd
14 Jan 20:00,Man City,Wolves
19 Jan 12:30,Wolves,Leicester
19 Jan 15:00,Bournemouth,West Ham
19 Jan 15:00,Liverpool,Crystal Palace
19 Jan 15:00,Man Utd,Brighton
19 Jan 15:00,Newcastle,Cardiff
19 Jan 15:00,Southampton,Everton
19 Jan 15:00,Watford,Burnley
19 Jan 17:30,Arsenal,Chelsea
20 Jan 13:30,Huddersfield,Man City
20 Jan 16:00,Fulham,Spurs
29 Jan 19:45,Arsenal,Cardiff
29 Jan 19:45,Fulham,Brighton
29 Jan 19:45,Huddersfield,Everton
29 Jan 19:45,Wolves,West Ham
29 Jan 20:00,Man Utd,Burnley
29 Jan 20:00,Newcastle,Man City
30 Jan 19:45,Bournemouth,Chelsea
30 Jan 19:45,Southampton,Crystal Palace
30 Jan 20:00,Liverpool,Leicester
30 Jan 20:00,Spurs,Watford
02 Feb 12:30,Spurs,Newcastle
02 Feb 15:00,Brighton,Watford
02 Feb 15:00,Burnley,Southampton
02 Feb 15:00,Chelsea,Huddersfield
02 Feb 15:00,Crystal Palace,Fulham
02 Feb 15:00,Everton,Wolves
02 Feb 17:30,Cardiff,Bournemouth
03 Feb 14:05,Leicester,Man Utd
03 Feb 16:30,Man City,Arsenal
04 Feb 20:00,West Ham,Liverpool
06 Feb 19:45,Everton,Man City
09 Feb 12:30,Fulham,Man Utd
09 Feb 15:00,Crystal Palace,West Ham
09 Feb 15:00,Huddersfield,Arsenal
09 Feb 15:00,Liverpool,Bournemouth
09 Feb 15:00,Southampton,Cardiff
09 Feb 15:00,Watford,Everton
09 Feb 17:30,Brighton,Burnley
10 Feb 13:30,Spurs,Leicester
10 Feb 16:00,Man City,Chelsea
11 Feb 20:00,Wolves,Newcastle
22 Feb 19:45,Cardiff,Watford
22 Feb 19:45,West Ham,Fulham
23 Feb 12:30,Burnley,Spurs
23 Feb 15:00,Bournemouth,Wolves
23 Feb 15:00,Newcastle,Huddersfield
23 Feb 17:30,Leicester,Crystal Palace
24 Feb 14:05,Arsenal,Southampton
24 Feb 14:05,Man Utd,Liverpool
26 Feb 19:45,Cardiff,Everton
26 Feb 19:45,Huddersfield,Wolves
26 Feb 19:45,Leicester,Brighton
26 Feb 20:00,Newcastle,Burnley
27 Feb 19:45,Arsenal,Bournemouth
27 Feb 19:45,Southampton,Fulham
27 Feb 20:00,Chelsea,Spurs
27 Feb 20:00,Crystal Palace,Man Utd
27 Feb 20:00,Liverpool,Watford
27 Feb 20:00,Man City,West Ham
02 Mar 12:30,Spurs,Arsenal
