Gameweek,Time,Home,Away
6,22 Sep 15:00,Liverpool,Southampton
6,22 Sep 15:00,Man Utd,Wolves
6,22 Sep 17:30,Brighton,Spurs
6,23 Sep 13:30,West Ham,Chelsea
6,23 Sep 16:00,Arsenal,Everton
7,29 Sep 12:30,West Ham,Man Utd
7,29 Sep 15:00,Arsenal,Watford
7,29 Sep 15:00,Everton,Fulham
7,29 Sep 15:00,Huddersfield,Spurs
7,29 Sep 15:00,Man City,Brighton
7,29 Sep 15:00,Newcastle,Leicester
7,29 Sep 15:00,Wolves,Southampton
7,29 Sep 17:30,Chelsea,Liverpool
7,30 Sep 16:00,Cardiff,Burnley
7,01 Oct 20:00,Bournemouth,Crystal Palace
8,05 Oct 20:00,Brighton,West Ham
8,06 Oct 15:00,Burnley,Huddersfield
8,06 Oct 15:00,Crystal Palace,Wolves
8,06 Oct 15:00,Leicester,Everton
8,06 Oct 15:00,Spurs,Cardiff
8,06 Oct 15:00,Watford,Bournemouth
8,06 Oct 17:30,Man Utd,Newcastle
8,07 Oct 12:00,Fulham,Arsenal
8,07 Oct 14:15,Southampton,Chelsea
8,07 Oct 16:30,Liverpool,Man City
9,20 Oct 12:30,Chelsea,Man Utd
9,20 Oct 15:00,Bournemouth,Southampton
9,20 Oct 15:00,Cardiff,Fulham
9,20 Oct 15:00,Man City,Burnley
9,20 Oct 15:00,Newcastle,Brighton
9,20 Oct 15:00,West Ham,Spurs
9,20 Oct 15:00,Wolves,Watford
9,20 Oct 17:30,Huddersfield,Liverpool
9,21 Oct 16:00,Everton,Crystal Palace
9,22 Oct 20:00,Arsenal,Leicester
10,27 Oct 15:00,Brighton,Wolves
10,27 Oct 15:00,Fulham,Bournemouth
10,27 Oct 15:00,Liverpool,Cardiff
10,27 Oct 15:00,Southampton,Newcastle
10,27 Oct 15:00,Watford,Huddersfield
10,27 Oct 17:30,Leicester,West Ham
10,28 Oct 13:30,Burnley,Chelsea
10,28 Oct 13:30,Crystal Palace,Arsenal
10,28 Oct 16:00,Man Utd,Everton
10,29 Oct 20:00,Spurs,Man City
11,03 Nov 12:30,Bournemouth,Man Utd
11,03 Nov 15:00,Cardiff,Leicester
11,03 Nov 15:00,Everton,Brighton
11,03 Nov 15:00,Newcastle,Watford
11,03 Nov 15:00,West Ham,Burnley
11,03 Nov 17:30,Arsenal,Liverpool
11,03 Nov 19:45,Wolves,Spurs
11,04 Nov 15:00,Man City,Southampton
11,04 Nov 16:00,Chelsea,Crystal Palace
11,05 Nov 20:00,Huddersfield,Fulham
12,10 Nov 12:30,Cardiff,Brighton
12,10 Nov 15:00,Huddersfield,West Ham
12,10 Nov 15:00,Leicester,Burnley
12,10 Nov 15:00,Newcastle,Bournemouth
12,10 Nov 15:00,Southampton,Watford
12,10 Nov 17:30,Crystal Palace,Spurs
12,11 Nov 12:00,Liverpool,Fulham
12,11 Nov 14:15,Chelsea,Everton
12,11 Nov 16:30,Arsenal,Wolves
12,11 Nov 16:30,Man City,Man Utd
13,24 Nov 15:00,Brighton,Leicester
13,24 Nov 15:00,Everton,Cardiff
13,24 Nov 15:00,Fulham,Southampton
13,24 Nov 15:00,Man Utd,Crystal Palace
13,24 Nov 15:00,Watford,Liverpool
13,24 Nov 15:00,West Ham,Man City
13,24 Nov 17:30,Spurs,Chelsea
13,25 Nov 13:30,Bournemouth,Arsenal
13,25 Nov 16:00,Wolves,Huddersfield
13,26 Nov 20:30,Burnley,Newcastle
14,30 Nov 20:00,Cardiff,Wolves
14,01 Dec 15:00,Crystal Palace,Burnley
14,01 Dec 15:00,Huddersfield,Brighton
14,01 Dec 15:00,Leicester,Watford
14,01 Dec 15:00,Man City,Bournemouth
14,01 Dec 15:00,Newcastle,West Ham
14,01 Dec 17:30,Southampton,Man Utd
14,02 Dec 12:00,Chelsea,Fulham
14,02 Dec 14:05,Arsenal,Spurs
14,02 Dec 16:15,Liverpool,Everton
15,04 Dec 19:45,Bournemouth,Huddersfield
15,04 Dec 19:45,Brighton,Crystal Palace
15,04 Dec 19:45,West Ham,Cardiff
15,04 Dec 20:00,Watford,Man City
15,05 Dec 19:45,Burnley,Liverpool
15,05 Dec 19:45,Everton,Newcastle
15,05 Dec 19:45,Fulham,Leicester
15,05 Dec 19:45,Wolves,Chelsea
15,05 Dec 20:00,Man Utd,Arsenal
15,05 Dec 20:00,Spurs,Southampton
16,08 Dec 12:30,Bournemouth,Liverpool
16,08 Dec 15:00,Arsenal,Huddersfield
16,08 Dec 15:00,Burnley,Brighton
16,08 Dec 15:00,Cardiff,Southampton
16,08 Dec 15:00,Man Utd,Fulham
16,08 Dec 15:00,West Ham,Crystal Palace
16,08 Dec 17:30,Chelsea,Man City
16,08 Dec 19:45,Leicester,Spurs
16,09 Dec 16:00,Newcastle,Wolves
16,10 Dec 20:00,Everton,Watford
17,15 Dec 12:30,Man City,Everton
17,15 Dec 15:00,Crystal Palace,Leicester
17,15 Dec 15:00,Huddersfield,Newcastle
17,15 Dec 15:00,Spurs,Burnley
17,15 Dec 15:00,Watford,Cardiff
17,15 Dec 15:00,Wolves,Bournemouth
17,15 Dec 17:30,Fulham,West Ham
17,16 Dec 13:30,Brighton,Chelsea
17,16 Dec 13:30,Southampton,Arsenal
17,16 Dec 16:00,Liverpool,Man Utd
18,21 Dec 20:00,Wolves,Liverpool
18,22 Dec 12:30,Arsenal,Burnley
18,22 Dec 15:00,Bournemouth,Brighton
18,22 Dec 15:00,Chelsea,Leicester
18,22 Dec 15:00,Huddersfield,Southampton
18,22 Dec 15:00,Man City,Crystal Palace
18,22 Dec 15:00,Newcastle,Fulham
18,22 Dec 15:00,West Ham,Watford
18,22 Dec 17:30,Cardiff,Man Utd
18,23 Dec 16:00,Everton,Spurs
19,26 Dec 12:30,Fulham,Wolves
19,26 Dec 15:00,Burnley,Everton
19,26 Dec 15:00,Crystal Palace,Cardiff
19,26 Dec 15:00,Leicester,Man City
19,26 Dec 15:00,Liverpool,Newcastle
19,26 Dec 15:00,Man Utd,Huddersfield
19,26 Dec 15:00,Spurs,Bournemouth
19,26 Dec 17:15,Brighton,Arsenal
19,26 Dec 19:30,Watford,Chelsea
19,27 Dec 19:45,Southampton,West Ham
20,29 Dec 15:00,Brighton,Everton
20,29 Dec 15:00,Fulham,Huddersfield
20,29 Dec 15:00,Leicester,Cardiff
20,29 Dec 15:00,Spurs,Wolves
20,29 Dec 15:00,Watford,Newcastle
20,29 Dec 17:30,Liverpool,Arsenal
20,30 Dec 12:00,Crystal Palace,Chelsea
20,30 Dec 14:15,Burnley,West Ham
20,30 Dec 14:15,Southampton,Man City
20,30 Dec 16:30,Man Utd,Bournemouth
21,01 Jan 12:30,Everton,Leicester
21,01 Jan 15:00,Arsenal,Fulham
21,01 Jan 17:30,Cardiff,Spurs
21,02 Jan 19:45,Bournemouth,Watford
21,02 Jan 19:45,Chelsea,Southampton
21,02 Jan 19:45,Huddersfield,Burnley
21,02 Jan 19:45,West Ham,Brighton
21,02 Jan 19:45,Wolves,Crystal Palace
