Crystal Palace,Brighton,0
Cardiff,West Ham,-1
Huddersfield,Bournemouth,-1
Leicester,Fulham,1
Newcastle,Everton,0
Southampton,Spurs,-3
Man City,Watford,2
Liverpool,Burnley,2
Chelsea,Wolves,1
Arsenal,Man Utd,0
