Property,Home,Away
id,13,18
name,Man City,Watford
short_name,MCI,WAT
strength,5,3
strength_overall_home,1320,1100
strength_overall_away,1350,1100
strength_attack_home,1320,1100
strength_attack_away,1330,1100
strength_defence_home,1340,1130
strength_defence_away,1360,1150
next_event_fixture_is_home,True,False
